plaintext,ciphertext,cipher_type,key,ciphertext_length,avg_char_freq,unique_chars
this is a secret message number 525,t ac s b5hsi  etxsaene 2isseegur5,rail_fence,3,33,2.0625,16
this is a secret message number 526,NBCM M U MYWLYN GYMMUAY HGOVY L526,caesar,20,34,2.0,17
this is a secret message number 527,FjUE UE M EQODQF YdQEEMSQ ZGYNQD 27,caesar,12,35,2.0588235294117645,17
this is a secret message number 528,YFGX GX Y QCHPCY KJFQECLSRZCW 528,vigenere,fyy,33,1.65,20
this is a secret message number 529,RFG oGQ Y QCAPCR KCQQYEC LSKZCP 59,caesar,24,34,2.0,17
this is a secret message number 530,BYJ UZB R UXTAK OXJBIXF GLVJVS5 30,vigenere,irbctrj,34,1.619047619047619,21
this is a secret message number 531,iaeegm5tietsn1sseseb3hscmaur,columnar,gvbl,28,1.75,16
this is a secret message number 532,KKJY ET R TENFV PFYUWHG QSDSA 532,vigenere,rdbgcwbc,33,1.5,22
this is a secret message number 533,MABL BL T LXVKXM qFXLLTZX GNFUXK 533,caesar,19,36,2.1176470588235294,17
this is a secret message number 534,FTUE UE M EQODQF YQEEMQ ZGYNj D534,caesar,12,34,2.0,17
this is a secret message number 535,tsce rki ermsene i ase sgnb55s tal3,rail_fence,4,35,2.1875,16
this is a secret message number 536,DRSC SbK COMBOD WOyCKQO XEWLOB 536,caesar,10,34,1.7894736842105263,19
this is a secret message number 537,tsce rhi ertmsene i ase sgub5eg7s tam3,rail_fence,4,38,2.235294117647059,17
this is a secret message number 538,t ac s n5hsi  ertmsaemne3isseegur8,rail_fence,3,34,2.125,16
this is a secret message number 539,NBCM MC Un MYbLYN GYMMUAY HOGVYL 539,caesar,20,36,2.0,18
this is a secret message number 540,hscmaursdejeb4tietsne0iaregm5,columnar,tjzp,29,1.6111111111111112,18
this is a secret message number 541,UIJT JT B TFDSFU NmFTTBHF zVNCFS 541,caesar,1,36,2.0,18
this is a secret message number 542,HPDN WA V dGMXMH HZDGIBZ BCHWPF542,vigenere,oivvl,34,1.7,20
this is a secret message number 543,t ac s b5hsi  ertmsaenem 4isseegeu3,rail_fence,3,35,2.0588235294117645,17
this is a secret message number 544,QEFP PX PBZOBQ JBPPXDBK RJYBO 544,caesar,23,33,2.0625,16
this is a secret message number 545,hsmerirsmacssu4seabtatgeieen5,columnar,xeykjt,29,1.9333333333333333,15
this is a secret message number 546,see4int6hcaretsessbirg5smuaem,columnar,ihoaepzm,29,1.8125,16
this is a secret message number 547,irs7seabscsu4tatgehsmeriekn5,columnar,rwynfl,28,1.6470588235294117,17
this is a secret message number 548,SXOB PQ B RUIAuWA DFQRQMN UkSDCCQ 548,vigenere,zqgjshyrby,37,1.6818181818181819,22
this is a secret message number 549,tsce rhi ersene i ase sugb59s taim4,rail_fence,4,35,2.0588235294117645,17
this is a secret message number 550,HpVWG WG O GSQFSH ASGGkUS IBAPSF 550,caesar,14,36,2.0,18
this is a secret message number 551,JYI YI Q IUSHUJ CUIIQWU DKCRUH rt51,caesar,16,35,2.0588235294117645,17
this is a secret message number 552,WLV LV D VHFHUW PHVVDJH XQPEHU 552,caesar,3,34,2.2666666666666666,15
this is a secret message number 553,iaregm5sseseb5tvetsne3htscmaur,columnar,uwrt,30,1.875,16
this is a secret message number 554,CTJW eIR nJ TIWRDY YWMAFJ ZVQVEQ 554,vigenere,jmbeuazf,36,1.8,20
this is a secret message number 555,tis asce esg ubr55hsi  ertsmenme 5,rail_fence,2,34,2.2666666666666666,15
this is a secret message number 556,kcarteseitn6aemssbsmuirg5see,columnar,ebyzgwhm,28,1.8666666666666667,15
this is a secret message number 557,t ac s b5hsi pv ertysaenme 5isseegur7,rail_fence,3,37,1.9473684210526316,19
this is a secret message number 558,QEFP FP X rBZOBQ JBPPDcB KRJYBO 558,caesar,23,35,1.9444444444444444,18
this is a secret message number 559,tsce rhi ermseaei  asevsgub59s tam5,rail_fence,4,35,2.1875,16
this is a secret message number 560,IVBIx QR P SNWZDU AEtBMIFF BUVVMQ 560,vigenere,poajuizb,37,1.6818181818181819,22
this is a secret message number 561,HBKC WMgK GYEBCH OOQGUIOi mBOOLCF 561,vigenere,oucky,37,1.6818181818181819,22
this is a secret message number 562,KYZJ ZJ R JVIVK DVJJRXV ELlSVI 562,caesar,17,34,2.0,17
this is a secret message number 563,NBCM CMU MbWLYN YGMMUAY HOGVYL 563,caesar,20,34,1.8888888888888888,18
this is a secret message number 564,icsbiegrssraetseu4amnhesmste5,columnar,ipbedyn,29,1.9333333333333333,15
this is a secret message number 565,ZNOY OY G YKIXKZ KyYYGMK TASHKX565,caesar,6,34,2.0,17
this is a secret message number 566,CZSX ACJ hCJLJOYyEOXBSQJ FERKWB 566,vigenere,jskf,35,1.6666666666666667,21
this is a secret message number 567,iaregm5hsucmaurtietsne7sseseb,columnar,gdbs,29,1.9333333333333333,15
this is a secret message number 568,ti sasce esg ubr58hfi  ertmbenme 6,rail_fence,2,34,1.8888888888888888,18
this is a secret message number 569,tsce rhi ermenei ase sgub59s tjam6,rail_fence,4,34,1.8888888888888888,18
this is a secret message number 570,MABL BL TL XVKXM FXLLTZX NfUXK 570,caesar,19,34,2.0,17
this is a secret message number 571,ti sasce es xgubrv1hsi  ertmsaenme 7,rail_fence,2,36,2.0,18
this is a secret message number 572,isarelgm5sseseb7tietsne2hscmaur,columnar,uwfk,31,1.8235294117647058,17
this is a secret message number 573,EQEN UI UD NYlMDF YYHDJZC ZKYVTC 573,vigenere,ljwvzmqmup,36,1.7142857142857142,21
this is a secret message number 574,semgbi4ceeehaesu5istam7tvrsnr,columnar,yowgi,29,1.7058823529411764,17
this is a secret message number 575,ti sasce esg ubr55dhs  ertmsamnme 7,rail_fence,2,35,2.0588235294117645,17
this is a secret message number 576,t ac s b5esip  ertmsaenme 7isseegur,rail_fence,3,35,2.1875,16
this is a secret message number 577,iceeehaesu5semgo7srsnristam7,columnar,neymd,28,1.8666666666666667,15
this is a secret message number 578,HfWGe WG O GSQFSH ASGGOUS BIAPSFd578,caesar,14,36,1.894736842105263,19
this is a secret message number 579,semg9bhaesu5trssnristam7iceee,columnar,jhncs,29,1.8125,16
this is a secret message number 580,iceeehaesu5istam8tsrsnksegb0,columnar,wrvxa,28,1.6470588235294117,17
this is a secret message number 581,ssbhcaritn1teesek8smuirg5aem,columnar,pkxsnvyf,28,1.6470588235294117,17
this is a secret message number 582,tsce rhi ermsen eias sgub52s tam8,rail_fence,4,33,1.9411764705882353,17
this is a secret message number 583,KFPM Zw UyJChLVK TYJJYNY ESTVVI 583,vigenere,ryhur,35,1.5217391304347827,23
this is a secret message number 584,seabscsu8tatgehsemrieen5srsm4,columnar,noqhsf,29,1.8125,16
this is a secret message number 585,YQAH S  KTXBAY VWHNKoCJ WMBWON 585,vigenere,fjspvkwf,34,1.7,20
this is a secret message number 586,GUVF VF N FRPEG ZRFFNTRj AHZOReE 586,caesar,13,36,1.894736842105263,19
this is a secret message number 587,tav  5h  tmen 8iseegur7siersame csb,rail_fence,5,35,1.9444444444444444,18
this is a secret message number 588,DRSC SC K COMBOk WOCCKQO xEWLO B588,caesar,10,35,2.0588235294117645,17
this is a secret message number 589,OEVQ PN X PRAGLO JZPFYVL URHxRP 5zo9,vigenere,vxnyphvhx,36,1.565217391304348,23
this is a secret message number 590,BCsG RA J NKMNH sMNBOGN IDABNZ 590,vigenere,ivjoaj,34,1.7894736842105263,19
this is a secret message number 591,jHVWG WG O GSQFSH ASGGwOU BIAPSF 591,caesar,14,36,1.894736842105263,19
this is a secret message number 592,t ac s b5hs  iermtsaenme 9isseegur2,rail_fence,3,35,2.0588235294117645,17
this is a secret message number 593,QEFPo F X PBZOBQ JlPPXDB KRJYBO 593,caesar,23,35,1.8421052631578947,19
this is a secret message number 594,NyBCM C MU MYWLYN GYMMUAY HOGVYL c594,caesar,20,37,1.9473684210526316,19
this is a secret message number 595,esabirsm5ieen5hsmertatuescsu9,columnar,pnjxhe,29,2.0714285714285716,14
this is a secret message number 596,CIKT GE Q BFESFR aULBBIF eGZRXAs 596,vigenere,jbcbbymnqt,36,1.565217391304348,23
this is a secret message number 597,BERj Fy NPNFABF ZMPBDPB KHUYNU 597,vigenere,ixjdjxmxn,34,1.7,20
this is a secret message number 598,ltsce rhi ermsene i sae sgub58stam9,rail_fence,4,35,1.9444444444444444,18
this is a secret message number 599,VdBUBUbT YXEXXV FGYLCMX TNOHXT 599,vigenere,cgt,34,1.7,20
this is a secret message number 600,tse6amn0tseu0icsbigersraehesm,columnar,hyjvodg,29,1.9333333333333333,15
this is a secret message number 601,VxYC wQJ G IOMZVC AUCCIXN BKWLMI 601,vigenere,goqkkirj,36,1.5,24
this is a secret message number 602,WHXX SLj F VEWRVW BJJVAVJ QUBGVU 602,vigenere,dapfr,36,1.8,20
this is a secret message number 603,NBCM CM U MqWLYN GYaMUAsY HOGVYL 603,caesar,20,36,1.8,20
this is a secret message number 604,ta  6h  tmbn 0isseegursiersame scb,rail_fence,5,34,2.125,16
this is a secret message number 605,hscmauiraregm6tietne5sseseb0,columnar,wcjy,28,1.75,16
this is a secret message number 606,XHOJ W G sVMGRKKUISYRJM NADEMV 606,vigenere,eagrdi,34,1.5454545454545454,22
this is a secret message number 607,istam0yceeehaesu6semgb7tsrnsr,columnar,qgaoe,29,1.7058823529411764,17
this is a secret message number 608,ti assce esg ubr68his  ertmsaemne 0,rail_fence,2,35,2.0588235294117645,17
this is a secret message number 609,HVWG sG O SGQFSH SAGGOUS BIAPSF 609,caesar,14,35,1.9444444444444444,18
this is a secret message number 610,CQRB RB J BNLANC VBNBJPN WDVKNqA610,caesar,9,35,1.9444444444444444,18
this is a secret message number 611,IDUH UH M OQtNQI yTOEPCQ xJGBXQG 611,vigenere,pwm,36,1.6363636363636365,22
this is a secret message number 612,ti salsce esg ubr62hsi  ertmsaenm 1,rail_fence,2,35,1.9444444444444444,18
this is a secret message number 613,tsce rhi emryene i ase sgub63sotam1,rail_fence,4,35,1.8421052631578947,19
this is a secret message number 614,haesu6trsnristam1qsemgb4iceee,columnar,rlvwz,29,1.7058823529411764,17
this is a secret message number 615,JKU KU C UGETG VOGUUCIG PmWODGT 615,caesar,2,35,1.9444444444444444,18
this is a secret message number 616,scsu1ieen6seabatgeiesm6hsmer,columnar,uzpawt,28,1.8666666666666667,15
this is a secret message number 617,hesmste6bcsbiegrtseu7sraeaan1,columnar,tflushx,29,1.8125,16
this is a secret message number 618,haesu6icweetsrsnrsemgb8stam1,columnar,rdvtq,28,1.6470588235294117,17
this is a secret message number 619,bWUNB DV F HZvEJC HHFJXVZ AZVQZU 619,vigenere,dnfjpv,36,1.7142857142857142,21
this is a secret message number 620,hsmerien6irsm0tattescsu2seab,columnar,nceqhs,28,1.8666666666666667,15
this is a secret message number 621,tjac s b6hsi  ertmsaenme 2siseegur1,rail_fence,3,35,1.9444444444444444,18
this is a secret message number 622,tsce h iermsen i ase sgub62s tam2,rail_fence,4,33,2.0625,16
this is a secret message number 623,RME SQ E KOASIF WCTWYO OYYOTP 623,vigenere,ybemsk,33,1.736842105263158,19
this is a secret message number 624,RTBJ CM O EXTWN ACELRLY TIKNXI62,vigenere,ymtrfuugo,32,1.6842105263157894,19
this is a secret message number 625,ta  6h  tmen 2iseewur5siersame csb,rail_fence,5,34,2.0,17
this is a secret message number 626,ta  6nh  tmen 2isseegur6siersaaxe csb,rail_fence,5,37,2.176470588235294,17
this is a secret message number 627,FIOM PE G BgLOSKN TQTYUPLO AhGKLD 627,vigenere,mbgujh,37,1.5416666666666667,24
this is a secret message number 628,ZUSP DS N PBXRKG JBNSGT OKPMHRBq 268,vigenere,gnkxxva,36,1.7142857142857142,21
this is a secret message number 629,LPIT vAAdB KMCSSL MFGKIGFF CMCSJ 629,vigenere,siabo,36,1.894736842105263,19
this is a secret message number 630,tsce hi ermsnee i ase sgub60w tam3,rail_fence,4,34,1.8888888888888888,18
this is a secret message number 631,LZArK AKs S KWUJWL EWjKKSYW FMETWJ 631,caesar,18,38,1.9,20
this is a secret message number 632,tsce rhi ersmeen i ase sgub62ks tam3,rail_fence,4,36,2.0,18
this is a secret message number 633,tii sasce esg urb63hsi  ertmsaenme f,rail_fence,2,36,2.1176470588235294,17
this is a secret message number 634,OTRH DEc  NQLGJO VTXNMPT IGVuQJM 634,vigenere,vmjpf,36,1.6363636363636365,22
this is a secret message number 635,BPQA A I AMKZMB UMAgIOM VCUJMZ 63z,caesar,8,34,1.8888888888888888,18
this is a secret message number 636,KHRUNJ lJ YJTRNV RVSBCM NDOHJI 636,vigenere,rajcgf,34,1.7,20
this is a secret message number 637,HCtP QW O DBFIZBzHPPVIKM IFJEMV 637,vigenere,ovlxdiei,35,1.5909090909090908,22
this is a secret message number 638,iaem6sseseb3hscmaurtietsne8,columnar,ecab,27,1.8,15
this is a secret message number 639,hesmicsbman3stek6tseu9iegrsrae,columnar,pcfxunl,30,1.7647058823529411,17
this is a secret message number 640,ta  m6h  tmen 4igsseegur0sierame csb,rail_fence,5,36,2.1176470588235294,17
this is a secret message number 641,YNAXAX S YWHXlY EJYKFMW TMRHW W641,vigenere,fgs,34,1.7894736842105263,19
this is a secret message number 642,ti sasc eesg ubr62hsi  ertmaenml 4,rail_fence,2,34,1.8888888888888888,18
this is a secret message number 643,DPSHJT U CMMGSU ZYRCIQT fVZVDB 643,vigenere,kikpobbnuz,34,1.5454545454545454,22
this is a secret message number 644,tcsse rhi ermsene i ase gsub64s tam4,rail_fence,4,36,2.25,16
this is a secret message number 645,KYZJ ZJ R sJVTIVKD VJJXV ELDSVI 645,caesar,17,35,1.9444444444444444,18
this is a secret message number 646,FWVJ WR M FPVFDGB RJFOFR HCDOSQ 646,vigenere,mpnrnozn,35,1.9444444444444444,18
this is a secret message number 647,ssesebh4scamuriaregm6tietsne7,columnar,pehb,29,1.8125,16
this is a secret message number 648,ZAVW PV G FIXYHL FRWNHJW fQHWLU648,vigenere,gtnevhds,34,1.5454545454545454,22
this is a secret message number 649,tseu9hesmicsbamn4iegrse6zsrae,columnar,bcdumof,29,1.7058823529411764,17
this is a secret message number 650,ti sas eesg ubr60hsi  xertmsaenme 5,rail_fence,2,35,2.0588235294117645,17
this is a secret message number 651,BPQAQ A I AMKZMB UMAAIOM CUJnMZ 651,caesar,8,35,2.0588235294117645,17
this is a secret message number 652,t ac s b6hsi  ertsmenme 5ivseegur2,rail_fence,3,34,1.8888888888888888,18
this is a secret message number 653,GUVF VF N FREPRG RZFFNTR AHZRE 653,caesar,13,34,2.125,16
this is a secret message number 654,DRSC SC KC OMkOD WOCCKQO XEWLOB 65,caesar,10,34,2.0,17
this is a secret message number 655,NBrCM CM U MYWLYNu GYMzMUAY HOGVYL 655,caesar,20,38,2.0,19
this is a secret message number 656,hscmaursseseb5txetsnesiaregm6,columnar,kdzh,29,1.8125,16
this is a secret message number 657,vta i 6h  tmen 5isseegur7siersamexcsb,rail_fence,5,37,1.9473684210526316,19
this is a secret message number 658,istam5tsrsnriceeesevgb8haesum6,columnar,iygxl,30,1.7647058823529411,17
this is a secret message number 659,LEMK TN XrKNMWQ EFDNSD IOFHTBV 659,vigenere,sxesblv,34,1.5454545454545454,22
this is a secret message number 660,AZPQ rK Y ZWJPZA mCNZSNC UMTZuZY 660,vigenere,hshyv,36,1.8,20
this is a secret message number 661,aemssbsmiitn1hcartesesee6irgb6,columnar,utwvogab,30,2.142857142857143,14
this is a secret message number 662,FPEL QKhI YKJQB FyAKMOA HCENMN 662,vigenere,miwtuis,34,1.619047619047619,21
this is a secret message number 663,ti sasce esg ubr63hsi  etrmsaenem y,rail_fence,2,35,2.0588235294117645,17
this is a secret message number 664,icsbamn6tseu4ehssmraeiegrste6,columnar,jkbnqre,29,1.9333333333333333,15
this is a secret message number 665,BPQA QA I AMKZMB UMAtIOM VUCaJMZ 665,caesar,8,36,2.0,18
this is a secret message number 666,GRIT qDA Y CEDWZB KRCSBLZASZLErS 666,vigenere,nkabfviny,36,1.894736842105263,19
this is a secret message number 667,tsce rhi ermsene vi ase sguf67s am6,rail_fence,4,35,2.0588235294117645,17
this is a secret message number 668,haesu6seg8iceeetsrsnristam6,columnar,kcndj,27,1.9285714285714286,14
this is a secret message number 669,tscer hi ermsenemi ase sguhb69s tam6,rail_fence,4,36,2.25,16
this is a secret message number 670,YMNX NX F XJHWJ YRJXXFeLJ SpRGJW 670,caesar,5,36,2.0,18
this is a secret message number 671,SGHR HR Z iDBQDS LDRRrFD MTLAeQ 671,caesar,25,35,1.75,20
this is a secret message number 672,RCI QV P ROWHD BITERKAU VIQQQ 672,vigenere,zkuqzidwpm,33,1.65,20
this is a secret message number 673,QNBuEP U SAZXYC IgYMJGA TOVBAO 673,vigenere,xgujaw,34,1.36,25
this is a secret message number 674,sea7ssbitn4irg6tesepsmuhcaraem,columnar,syrblvzd,30,1.7647058823529411,17
this is a secret message number 675,QEFb FP XPBZOlQ JBPPXDB KRJYBO 675,caesar,23,34,1.7894736842105263,19
this is a secret message number 676,ti sasceesg ubrh66hs  ertmsaenme 7,rail_fence,2,34,2.125,16
this is a secret message number 677,ti sasce esg ubr67hsi  ertmenme 7,rail_fence,2,33,2.0625,16
this is a secret message number 678,XRAZ  MCH WOUYWX ELtWKYL REEIWV 678,vigenere,ekshs,35,1.6666666666666667,21
this is a secret message number 679,ZXSY S YK IOIHOZ WKICrWOD ESROX 679,vigenere,gqk,35,1.9444444444444444,18
this is a secret message number 680,istam8haesu6iceetsrsnrsmgb0,columnar,nfcuj,27,1.6875,16
this is a secret message number 681,NUKA KQ W FGKZGRhYFUIOG LQGOGZ 861,vigenere,unciicyyw,34,1.7894736842105263,19
this is a secret message number 682,seaboieen6tatgescswu8irsm2hsmer,columnar,kzisvb,31,1.7222222222222223,18
this is a secret message number 683,MABL BLT pXVKXM FhLLTZX GNFUXK 683,caesar,19,34,1.7894736842105263,19
this is a secret message number 684,ieean6hsmersebscsu8tatgeirsm4,columnar,tcbrud,29,1.8125,16
this is a secret message number 685,CQsRB RB J BNLANC VaBBJPN WDVKNA 865,caesar,9,36,1.894736842105263,19
this is a secret message number 686,t ac s 6bhis  etmsaenme 8isseegur6,rail_fence,3,34,2.125,16
this is a secret message number 687,ZNOYpdOY G YKIXKZ SKYYGMK TASHKX 678,caesar,6,36,1.894736842105263,19
this is a secret message number 688,FZRBU K J EWLAFc VNTESPN ZMVKF D688,vigenere,msjjb,35,1.5909090909090908,22
this is a secret message number 689,JXYoI YIxQ IUSHUJ CgUIIQWU DKCRUH 689,caesar,16,37,1.85,20
this is a secret message number 690,tisasce esg ubr60hsi  ermsaenme 9,rail_fence,2,33,1.9411764705882353,17
this is a secret message number 691,CBJ HPJ J TTKYVL GFAHHXW HVBJL 691,vigenere,jubpihrs,34,1.7894736842105263,19
this is a secret message number 692,LZAK AK k KWUJWL EWKdSYW fFMETWJ 692,caesar,18,36,1.8,20
this is a secret message number 693,GnUVF VF N FRPREG ZRFFNTR AHZRE 693,caesar,13,35,2.0588235294117645,17
this is a secret message number 694,CQRB RB JBNLANC VmNBBJPN WDKVNA 694,caesar,9,35,1.9444444444444444,18
this is a secret message number 695,wt ac k b6hsi  ertmsaenme 9isseegur5,rail_fence,3,36,1.894736842105263,19
this is a secret message number 696,ti sasce seg ubr66hsi  ertmseanme 9,rail_fence,2,35,2.1875,16
this is a secret message number 697,tirsnrsemgb7iceeeista9haesu6,columnar,azycq,28,1.75,16
this is a secret message number 698,ti sasce esg ubr68hsi  ertmsaenmx 9,rail_fence,2,35,1.9444444444444444,18
this is a secret message number 699,KPoOP ZA X JMIOVK SBJJjIMB ECSYVrI 699,vigenere,rigxr,38,1.8095238095238095,21
this is a secret message number 700,JXYI IY Q UISHUJ CUIQWU DKCRUH 700,caesar,16,34,2.125,16
this is a secret message number 701,iaregm7tietsne1sesecb0hscmaur,columnar,prnq,29,1.8125,16
this is a secret message number 702,GUVF VF N FRPERG ZRzFTR AHZORE 702,caesar,13,34,1.8888888888888888,18
this is a secret message number 703,seabirsm3scsu0tatgeieen7hsmre,columnar,nvumfb,29,1.8125,16
this is a secret message number 704,tsce hri ermsene i as esgub74st am0,rail_fence,4,35,2.0588235294117645,17
this is a secret message number 705,ENUA OK x KGNXWV SWUtGYG TMOMKJ 705,vigenere,lgsc,35,1.6666666666666667,21
this is a secret message number 706,ANEQ BJ y YAANXK NLYOYCXg BVTHAP 760,vigenere,hgwywtrob,36,1.6363636363636365,22
this is a secret message number 707,QCRB RB J BNAlNC VNBBJPN WDVKNA 707,caesar,9,35,2.1875,16
this is a secret message number 708,LTWX AEF  KQQWGL AJUKMUJ FAGGJ 708,vigenere,smofc,34,2.0,17
this is a secret message number 709,LLUO VSe E OHPRWX IHFSSKQ QqHMTID 79,vigenere,semwdna,36,1.565217391304348,23
this is a secret message number 710,tietsnedhscamaursseseb1iaregm7,columnar,hqur,30,1.875,16
this is a secret message number 711,VZZG VR  SGUPQGL UAFRCYV DHLDIW 711,vigenere,csroqnz,35,1.75,20
this is a secret message number 712,IYPT UI P FZEDUK LDTUMWV EBNDQH 71o,vigenere,prhbcmqr,35,1.5909090909090908,22
this is a secret message number 713,SGOR pR G KfBQKS SDRYZFK MALAKQ 713,vigenere,zzg,35,1.75,20
this is a secret message number 714,FEHXd ZU S PDHIVV EPRXV UMYYDW 714,vigenere,mxzfrrchs,34,1.7,20
this is a secret message number 715,istam1semgbhtsrsnriwceeehaesu7,columnar,kucin,30,1.875,16
this is a secret message number 716,WKLV L VD VHFUHW pHVVDJH QXPEHU 761,caesar,3,35,1.9444444444444444,18
this is a secret message number 717,zceeeistam1haeu7tsrsnrsemgb7,columnar,pjdqc,28,1.75,16
this is a secret message number 718,itetsne8iaregm7hscmaursseseb1,columnar,afey,29,1.8125,16
this is a secret message number 719,ta  jh  tmen 1issebgur9siersmae csb,rail_fence,5,35,2.0588235294117645,17
this is a secret message number 720,srussbirg7ee2hcarteseitn0aem,columnar,liceqavb,28,1.75,16
this is a secret message number 721,t a s b7hsi  ertmsaemne 2isseegur1,rail_fence,3,34,2.125,16
this is a secret message number 722,ti sasce eg ubr72hsi  ermtsenme 2,rail_fence,2,33,2.0625,16
this is a secret message number 723,JXYI YI Q IUSHUJ CUIIgWU DKCRUH7 23,caesar,16,35,1.9444444444444444,18
this is a secret message number 724,OOQG YNI  WUXYMH CZZAOKU UCAFUx 72,vigenere,vhioeq,34,1.7,20
this is a secret message number 725,GITV Ts L FFNUYE NPHBFHR YQNMTE 725,vigenere,nbldulwblp,35,1.6666666666666667,21
this is a secret message number 726,IFPH GZ P ZTRPLI KLHYNT LBBdCY 726,vigenere,pyhp,34,1.7894736842105263,19
this is a secret message number 727,t ac bs b7hsi  ertmsaenm t2isseegur7,rail_fence,3,36,2.25,16
this is a secret message number 728,ieen7isrm8hsmerkeabscsu2tatge,columnar,qfakch,29,1.7058823529411764,17
this is a secret message number 729,twsce rhi lrmsene i ase sguhb79s tam2,rail_fence,4,37,1.9473684210526316,19
this is a secret message number 730,ta  7uh  tme 3isseegux0siersame csb,rail_fence,5,35,2.0588235294117645,17
this is a secret message number 731,tsce rhi ermsmne ia se sgub71s atm3,rail_fence,4,35,2.0588235294117645,17
this is a secret message number 732,wistam3semgb2iceeehmaesu7tsrsnr,columnar,wsgmq,31,1.8235294117647058,17
this is a secret message number 733,RFGQ GQ  QCAPCR KCQQYyC LSKZPC 733,caesar,24,34,2.125,16
this is a secret message number 734,steuamn3iegrste7sraeicsbhesm,columnar,cxtsgke,28,1.8666666666666667,15
this is a secret message number 735,ti sasoce esg ubr7lhsi  ertmsaenmge 3,rail_fence,2,37,2.0555555555555554,18
this is a secret message number 736,TGSE AZ A CQFJLP LOEVnSNA MEYEW r736,vigenere,azkmdshw,36,1.5,24
this is a secret message number 737,t sasce esg ubr77hs i ertmsaenmje 3,rail_fence,2,35,2.0588235294117645,17
this is a secret message number 738,SGHR HR Z DBDS LDRRZFD MTLAD Q738,caesar,25,33,1.9411764705882353,17
this is a secret message number 739,simdgb9haesu7tsrsnristam3iceee,columnar,ofqdu,30,1.7647058823529411,17
this is a secret message number 740,AOPZm PZ H ZLJYLA TLZZHNLc UBTILY w740,caesar,7,38,1.9,20
this is a secret message number 741,ti sobsce esg ubr71hsi  ertmsaenm 4,rail_fence,2,35,1.9444444444444444,18
this is a secret message number 742,VKFS QO J VBCkxMP VGVPAEM DOEBR 742,vigenere,cdxayiwzj,35,1.5909090909090908,22
this is a secret message number 743,YMTV NX D XJNUNY XHhXFRH SZXENW 4c,vigenere,ffldj,34,1.7,20
this is a secret message number 744,QEFPl F X PBZOBQ JPPXDB KRJYBO 744,caesar,23,34,2.0,17
this is a secret message number 745,MABLg Be T LXVKXM FXLLTZ GNFUXK 745,caesar,19,35,1.8421052631578947,19
this is a secret message number 746,irg7aemsee4ssbitn6teslesfuhcar,columnar,pyeknqfm,30,1.6666666666666667,18
this is a secret message number 747,tietsne7sseseb4hscmuaraaregm7,columnar,awzb,29,1.9333333333333333,15
this is a secret message number 748,t ac s b7hsi  retmsaenme 4siseegur8,rail_fence,3,35,2.0588235294117645,17
this is a secret message number 749,TfLT M F SIFSRt VJJSEJF RRVGVR 749,vigenere,aedbnexjfr,34,2.0,17
this is a secret message number 750,AOPZ PZ H ZLJYhA TLZZaNL UBTxLY 750,caesar,7,35,1.8421052631578947,19
this is a secret message number 751,ZPEF OA uN YMYEUrZ IRIYICR TCIOUX7 51,vigenere,giwnq,37,1.7619047619047619,21
this is a secret message number 752,ti sasce esg ubr72zhsi  hirtmsaenme 5,rail_fence,2,37,2.0555555555555554,18
this is a secret message number 753,RAEX SO H OJBAY WAXZKCJ XQRIOvN 753,vigenere,hkwf,35,1.5909090909090908,22
this is a secret message number 754,tsce rhi ermsene i ase vugb74st am5,rail_fence,4,35,1.9444444444444444,18
this is a secret message number 755, tac s b7hgi  ertmsaenme 5isseegure5,rail_fence,3,36,2.25,16
this is a secret message number 756,itn6aemirg7ssbsmuhcadrtesesee5,columnar,tpizblcj,30,1.7647058823529411,17
this is a secret message number 757,CRYB YB QuULBUC CNCIJQUXKVLUA 757,vigenere,jkq,33,1.8333333333333333,18
this is a secret message number 758,tsce rh ermsene i sae gsub78s tam5,rail_fence,4,34,2.0,17
this is a secret message number 759,aemsmuitn9ssbsee5rirg7tesenhcar,columnar,tzsoihdl,31,1.9375,16
this is a secret message number 760,t ac s k7hsi  ertmsaenmee 6qisseegur0,rail_fence,3,37,2.0555555555555554,18
this is a secret message number 761,RFGQ GQ Y QCAPCK CQQEYC LSKZCP 761,caesar,24,34,2.0,17
this is a secret message number 762,MALB BL T LXVKXcM FXLLTZX NGFUXK 762,caesar,19,36,2.0,18
this is a secret message number 763,sseseqb6hscmartietsne3iaregm7,columnar,ifkd,29,1.8125,16
this is a secret message number 764,BRCW PJI MIMYVwK WYWCHXV XOQLLI764,vigenere,ikuekhrr,34,1.619047619047619,21
this is a secret message number 765,ta  7h  tmen 6isseegru5sieryame csb,rail_fence,5,35,1.9444444444444444,18
this is a secret message number 766,t asce esg ubr76hsi  ertmsaennme 6,rail_fence,2,34,2.125,16
this is a secret message number 767,see6esessbhcaraemitn7smirg7,columnar,cjvamrkg,27,1.9285714285714286,14
this is a secret message number 768,itn8tesesee6hcarssbsmuaemkg7,columnar,gkvjaopn,28,1.6470588235294117,17
this is a secret message number 769,egrsraeamn6hesmtseu9icsbsted7,columnar,liofcvg,29,1.7058823529411764,17
this is a secret message number 770,at  7hk  tmen 7issegeur0siersame csb,rail_fence,5,36,2.1176470588235294,17
this is a secret message number 771,KZZU UJ A QTJVV YVKJCOQ FLOJQk 771,vigenere,rsrcim,34,2.0,17
this is a secret message number 772,RQRQ RQ J BNANR CVBBYPN WvDKKNP 772,vigenere,yjj,35,2.0588235294117645,17
